Plus Sign,+
<,Less Than Sign<br/>Dyadic: Less Than
Less Than Or Equal To Sign,≤
Dyadic: Is Less Or Equal To,≤
Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less Or Equal.,≤
≤,Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less Or Equal.
LessOrEqual,≤
LessOrEqual,Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less Or Equal.
Y may be any numeric array.  X may be any numeric array.  R is Boolean.  R is 1 if X is less than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Less Or Equal.,LessOrEqual
≤,Less Than Or Equal To Sign<br/>Dyadic: Is Less Or Equal To
Equal Sign,=
Dyadic: Equal To,=
"Y may be any array. X may be any array. R is Boolean.<br/> ⎕CT and ⎕DCT are  implicit arguments of Equal. <br/>If X and Y are refs, then R is 1 if they are refs to the same object. If X is a ref and Y is not, or vice-versa, then R is 0.<br/>If X and Y are character, then R is 1 if they are the same character. If X is character and Y is numeric, or vice-versa, then R is 0.<br/>If X and Y are numeric, then R is 1 if X and Y are within comparison tolerance of each other.<br/>For real numbers X and Y, X is considered equal to Y if (|X-Y) is not greater than ⎕CT×(|X)⌈|Y.<br/>For complex numbers X=Y is 1 if the magnitude of X-Y does not exceed ⎕CT times the larger of the magnitudes of X and Y; geometrically, X=Y if the number smaller in magnitude lies on or within a circle centred on the one with larger magnitude, having radius ⎕CT times the larger magnitude.",=
=,"Y may be any array. X may be any array. R is Boolean.<br/> ⎕CT and ⎕DCT are  implicit arguments of Equal. <br/>If X and Y are refs, then R is 1 if they are refs to the same object. If X is a ref and Y is not, or vice-versa, then R is 0.<br/>If X and Y are character, then R is 1 if they are the same character. If X is character and Y is numeric, or vice-versa, then R is 0.<br/>If X and Y are numeric, then R is 1 if X and Y are within comparison tolerance of each other.<br/>For real numbers X and Y, X is considered equal to Y if (|X-Y) is not greater than ⎕CT×(|X)⌈|Y.<br/>For complex numbers X=Y is 1 if the magnitude of X-Y does not exceed ⎕CT times the larger of the magnitudes of X and Y; geometrically, X=Y if the number smaller in magnitude lies on or within a circle centred on the one with larger magnitude, having radius ⎕CT times the larger magnitude."
Equal,"Y may be any array. X may be any array. R is Boolean.<br/> ⎕CT and ⎕DCT are  implicit arguments of Equal. <br/>If X and Y are refs, then R is 1 if they are refs to the same object. If X is a ref and Y is not, or vice-versa, then R is 0.<br/>If X and Y are character, then R is 1 if they are the same character. If X is character and Y is numeric, or vice-versa, then R is 0.<br/>If X and Y are numeric, then R is 1 if X and Y are within comparison tolerance of each other.<br/>For real numbers X and Y, X is considered equal to Y if (|X-Y) is not greater than ⎕CT×(|X)⌈|Y.<br/>For complex numbers X=Y is 1 if the magnitude of X-Y does not exceed ⎕CT times the larger of the magnitudes of X and Y; geometrically, X=Y if the number smaller in magnitude lies on or within a circle centred on the one with larger magnitude, having radius ⎕CT times the larger magnitude."
"Y may be any array. X may be any array. R is Boolean.<br/> ⎕CT and ⎕DCT are  implicit arguments of Equal. <br/>If X and Y are refs, then R is 1 if they are refs to the same object. If X is a ref and Y is not, or vice-versa, then R is 0.<br/>If X and Y are character, then R is 1 if they are the same character. If X is character and Y is numeric, or vice-versa, then R is 0.<br/>If X and Y are numeric, then R is 1 if X and Y are within comparison tolerance of each other.<br/>For real numbers X and Y, X is considered equal to Y if (|X-Y) is not greater than ⎕CT×(|X)⌈|Y.<br/>For complex numbers X=Y is 1 if the magnitude of X-Y does not exceed ⎕CT times the larger of the magnitudes of X and Y; geometrically, X=Y if the number smaller in magnitude lies on or within a circle centred on the one with larger magnitude, having radius ⎕CT times the larger magnitude.",Equal
=,Equal Sign<br/>Dyadic: Equal To
Greater Than Sign,>
Dyadic: Greater Than,>
Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater.,>
>,Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater.
Greater,Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater.
Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y and X=Y is 0.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater.,Greater
>,Greater Than Sign<br/>Dyadic: Greater Than
Greater Than Or Equal To Sign,≥
Dyadic: Is Greater Or Equal To,≥
Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater Or Equal.,≥
≥,Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater Or Equal.
GreaterOrEqual,≥
GreaterOrEqual,Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater Or Equal.
Y must be numeric.  X must be numeric.  R is Boolean.  R is 1 if X is greater than Y or X=Y.  Otherwise R is 0.<br/>⎕CT and ⎕DCT are  implicit arguments of Greater Or Equal.,GreaterOrEqual
≥,Greater Than Or Equal To Sign<br/>Dyadic: Is Greater Or Equal To
Not Equal,≠
Monadic: Unique Mask,≠
"Y may be any array.<br/>R is a Boolean vector whose length is the number of major cells
in Y. For each major cell of Y, the corresponding element of  R is 1 if it is the first occurrence of that value, and 0 if it is a duplicate of an earlier major cell.<br/>⎕CT and ⎕DCT are  implicit arguments of Unique.",≠
≠,"Y may be any array.<br/>R is a Boolean vector whose length is the number of major cells
in Y. For each major cell of Y, the corresponding element of  R is 1 if it is the first occurrence of that value, and 0 if it is a duplicate of an earlier major cell.<br/>⎕CT and ⎕DCT are  implicit arguments of Unique."
Unique_Mask,≠
Unique_Mask,"Y may be any array.<br/>R is a Boolean vector whose length is the number of major cells
in Y. For each major cell of Y, the corresponding element of  R is 1 if it is the first occurrence of that value, and 0 if it is a duplicate of an earlier major cell.<br/>⎕CT and ⎕DCT are  implicit arguments of Unique."
"Y may be any array.<br/>R is a Boolean vector whose length is the number of major cells
in Y. For each major cell of Y, the corresponding element of  R is 1 if it is the first occurrence of that value, and 0 if it is a duplicate of an earlier major cell.<br/>⎕CT and ⎕DCT are  implicit arguments of Unique.",Unique_Mask
Dyadic: Not Equal To,≠
"Y may be any array.  X may be any array.  R is Boolean.  R is 0 if X=Y.  Otherwise R is 1.<br/>For Boolean X and Y, the value of R is the exclusive or (XOR)  result, determined as follows:<br/>⎕CT and ⎕DCT are  implicit arguments of Not Equal.",≠
≠,"Y may be any array.  X may be any array.  R is Boolean.  R is 0 if X=Y.  Otherwise R is 1.<br/>For Boolean X and Y, the value of R is the exclusive or (XOR)  result, determined as follows:<br/>⎕CT and ⎕DCT are  implicit arguments of Not Equal."
NotEqual,≠
NotEqual,"Y may be any array.  X may be any array.  R is Boolean.  R is 0 if X=Y.  Otherwise R is 1.<br/>For Boolean X and Y, the value of R is the exclusive or (XOR)  result, determined as follows:<br/>⎕CT and ⎕DCT are  implicit arguments of Not Equal."
"Y may be any array.  X may be any array.  R is Boolean.  R is 0 if X=Y.  Otherwise R is 1.<br/>For Boolean X and Y, the value of R is the exclusive or (XOR)  result, determined as follows:<br/>⎕CT and ⎕DCT are  implicit arguments of Not Equal.",NotEqual
≠,Not Equal<br/>Monadic: Unique Mask<br/>Dyadic: Not Equal To
Equal Underbar,≡
Monadic: Depth,≡
"Y may be any array. R is the maximum number of levels of nesting of Y. A simple scalar (rank-0 number, character or namespace-reference) has a depth of 0.<br/>A higher rank array, all of whose items are simple scalars, is termed a simple array and has a depth of 1. An array whose items are not all simple scalars is nested and has a depth 1 greater than that of its most deeply nested item.<br/>Y is of uniform depth if it is simple or if all of its items have the same uniform depth.<br/>If ⎕ML<2 and Y is not of uniform depth then R is negated (therefore, when ⎕ML<2, a negative value of R indicates non-uniform depth).",≡
≡,"Y may be any array. R is the maximum number of levels of nesting of Y. A simple scalar (rank-0 number, character or namespace-reference) has a depth of 0.<br/>A higher rank array, all of whose items are simple scalars, is termed a simple array and has a depth of 1. An array whose items are not all simple scalars is nested and has a depth 1 greater than that of its most deeply nested item.<br/>Y is of uniform depth if it is simple or if all of its items have the same uniform depth.<br/>If ⎕ML<2 and Y is not of uniform depth then R is negated (therefore, when ⎕ML<2, a negative value of R indicates non-uniform depth)."
Depth,"Y may be any array. R is the maximum number of levels of nesting of Y. A simple scalar (rank-0 number, character or namespace-reference) has a depth of 0.<br/>A higher rank array, all of whose items are simple scalars, is termed a simple array and has a depth of 1. An array whose items are not all simple scalars is nested and has a depth 1 greater than that of its most deeply nested item.<br/>Y is of uniform depth if it is simple or if all of its items have the same uniform depth.<br/>If ⎕ML<2 and Y is not of uniform depth then R is negated (therefore, when ⎕ML<2, a negative value of R indicates non-uniform depth)."
"Y may be any array. R is the maximum number of levels of nesting of Y. A simple scalar (rank-0 number, character or namespace-reference) has a depth of 0.<br/>A higher rank array, all of whose items are simple scalars, is termed a simple array and has a depth of 1. An array whose items are not all simple scalars is nested and has a depth 1 greater than that of its most deeply nested item.<br/>Y is of uniform depth if it is simple or if all of its items have the same uniform depth.<br/>If ⎕ML<2 and Y is not of uniform depth then R is negated (therefore, when ⎕ML<2, a negative value of R indicates non-uniform depth).",Depth
